Tempo	C1	C2	C3	C4	C5
1,52	6,457801425	0,85692316	3,671844	2,427151	3,2505634
1,54	0,225720252	1,4409714	3,499502	4,2558923	-1,0867126
1,56	-6,17152215	2,360129	0,99096704	4,476107	-4,763344
1,58	-9,7169825	2,752686	-0,42606795	-1,5175679	-6,2761245
1,6	-7,97728435	1,8431029	1,383524	-3,0303483	-4,0548263
1,62	-4,7731578	0,110107444	0,70373017	-3,5856729	-1,7282082
1,64	-3,198621155	-1,4122477	-8,363379	0,12925656	-1,0101161
1,66	-1,69014925	-2,8580062	-3,5952475	0,40691882	-0,40691882
1,68	-0,963440146	-2,3505547	4,504831	-1,1345854	-0,11968201
1,7	-1,08455833	-1,2686293	0,17712937	-1,6611862	-0,76117754
1,72	-3,09952462	-0,8090504	-1,3930986	-1,2973529	-2,2835326
1,74	-5,257630605	-1,6611862	-2,2739582	-1,0675635	-5,2420716
1,76	-7,746059025	-2,580344	1,7377827	-0,8090504	-6,8601727
1,78	-9,28756215	-2,6090677	6,3814445	-1,7377827	-3,7675896
1,8	-4,68507194	-3,2505634	2,1973617	-2,3505547	-2,2165108
1,82	0,842321985	-3,9016335	4,284616	-1,6899099	-5,2899446
1,84	-3,22064285	-3,777164	-1,0675635	-0,98139244	-5,500585
1,86	-7,10743585	-1,9388485	-2,6952388	-1,0962871	-1,3452257
1,88	-5,49986695	-1,4218222	-2,360129	-1,6037389	1,0867126
1,9	-2,0645145	-1,5175679	-0,023936402	-1,4026731	-0,45479164
1,92	-2,824255905	-1,2016073	1,0005416	-1,1058618	-3,8154624
1,94	-7,07440325	-1,1728836	0,20585304	-1,2399056	-8,248484
1,96	-11,55577615	-0,8664977	-0,45479164	-1,2590547	-5,4239883
1,98	2,692127	-0,9526688	-0,3398969	-1,5750152	-4,619725
2	-3,7161261	-4,782493	1,3260766	-2,647366	-14,740036
2,02	-11,63285145	-0,8760723	2,1303396	-2,580344	-10,766593
2,04	-5,455823675	-5,8835673	2,1590633	-1,4313968	1,3643749
2,06	0,622107036	-9,41658	1,6611862	-1,0484143	4,466532
2,08	-1,051526121	-9,866585	0,6079846	-1,4313968	4,121848
2,1	-1,392859185	-3,518651	0,6558574	-1,5654407	3,4899273
2,12	1,976428755	2,149489	1,3452257	-1,4409714	4,3133397
2,14	5,46683481	8,985725	1,8431029	-1,0005416	3,499502
2,16	6,5348773	6,391019	1,1058618	-0,25372586	2,6952388
2,18	3,231653525	0,30159867	0,6750065	0,665432	-0,5218136
2,2	-3,41883615	-1,1250108	0,85692316	0,23457673	-3,5952475
2,22	-9,46373525	-4,2558923	1,5462915	-0,98139244	-5,7782474
2,24	-9,63990605	-3,126094	-0,665432	-2,1207652	-6,2091026
2,26	-5,94029671	-2,8388572	-1,6037389	-2,149489	-2,7814097
2,28	-1,822278155	-2,2356598	0,665432	-0,8186249	0,9718179
2,3	1,71217083	-1,2016073	1,2686293	-0,4356425	3,078221
2,32	4,806189825	0,359046	0,8186249	-0,043085523	3,0111992
2,34	4,45384627	0,98139244	1,5558661	1,0388398	1,4601204
2,36	1,392859185	0,8856468	1,5845897	1,2782038	0,05266008
2,38	-2,2186651	0,98139244	0,7420284	-0,50266445	-1,2303311
2,4	-4,6190072	1,5654407	0,8186249	-2,733537	-1,8335283
2,42	-4,38778176	1,9579976	1,1345854	-2,8484318	-1,3069274
2,44	-2,835266695	1,5367169	0,30159867	-2,6377914	-1,3548003
2,46	-2,020471685	0,3111732	-0,5218136	-2,360129	-2,0441687
2,48	-1,899353455	-0,8952214	-0,18670394	-2,5707695	-1,6899099
2,5	-1,08455833	-1,3739494	-0,17712937	-2,5037475	-0,71330476
2,52	-0,489978143	-1,0675635	-2,5420458	-2,034594	-0,023936402
2,54	-1,139612096	-0,92394507	-1,2207564	-1,2399056	0,25372586
2,56	-1,70116004	-0,54096264	-0,062234644	0,014361841	0,7228793
2,58	-1,37083772	-0,359046	-1,9101248	-0,54096264	-1,3643749
2,6	-0,644128524	-0,27287498	-2,9537518	-1,7473572	-5,941015
2,62	-1,46993437	-0,043085523	-2,752686	-2,6569405	-6,1995277
2,64	-3,22064285	0,23457673	0,15798025	-2,7622607	-3,825037
2,66	-3,374793105	0,30159867	3,4133308	-1,3165021	-2,3984275
2,68	-3,000427855	0	3,844186	0,76117754	0,14840569
2,7	-5,76412476	-0,3398969	3,0877957	1,9101248	0,9622433
2,72	-7,3716932	-0,46436617	1,8431029	1,9867213	-0,40691882
2,74	-6,47982335	-0,61755913	-1,2207564	0,751603	-1,5558661
2,76	-4,03543786	-0,77075213	-1,4601204	-1,0484143	-1,6707608
2,78	-1,85531041	-0,56011176	-0,5505372	-3,5569491	1,1728836
2,8	1,282751745	-0,062234644	1,2686293	-4,5910015	5,672927
2,82	2,08653608	0,10053288	2,0250196	-2,905879	5,806971
2,84	0,313806227	-0,5313881	1,7377827	-1,2973529	3,365458
2,86	-1,81126748	-1,7186337	2,254809	0,33032233	0,50266445
2,88	-2,71414835	-2,8388572	1,4122477	2,2739582	-1,1824582
2,9	0,511999631	-3,0111992	0,359046	2,714388	-2,2739582
2,92	7,746059025	-2,1590633	0,062234644	2,2931073	-2,2739582
2,94	9,84911175	-1,776081	0,043085523	-0,110107444	-2,1399143
2,96	5,54390988	-2,475024	0,00478728	-1,6324625	-1,9101248
2,98	-0,732214499	-2,9920502	0,61755913	-2,427151	-1,6420372
3	-5,8301895	-2,7909844	0,9622433	-2,4175766	-1,4409714
3,02	-6,64498451	-1,622888	1,1345854	-2,561195	-2,1782124
3,04	-3,93634121	-0,27287498	0,69415563	-2,3697038	-3,5378
3,06	-1,58004181	1,5367169	0,27287498	-1,5845897	-3,2218397
3,08	-0,710193	2,9633265	0,359046	0,34947145	-1,2016073
3,1	-0,005505372	3,3080106	0,5792609	2,7239625	-0,2920241
3,12	-0,4129029	2,6569405	1,0292653	2,8292825	-1,2016073
3,14	-3,198621155	2,6760898	1,5750152	4,0356774	-2,7814097
3,16	-5,99535066	1,9962958	2,321831	5,1654754	-2,5324712
3,18	-5,631995625	-0,42606795	2,9346027	1,1154363	-1,9388485
3,2	-3,65006205	-1,9579976	0,61755913	-2,0633178	-2,3984275
3,22	-4,189588345	-2,1399143	-2,4175766	-5,0984535	-4,1026993
3,24	-4,76214701	-0,751603	-4,1792955	-1,6516117	-5,5484576
3,26	-2,350794005	-0,03351096	-3,059072	2,5324712	-3,3558834
3,28	1,040515331	-0,2920241	0,8090504	4,275041	-5,021857
3,3	1,91036413	-0,6271337	4,466532	2,2165108	-12,145329
3,32	-1,42589144	-1,4792696	4,6388745	-1,8526775	-6,869747
3,34	-4,376770855	-1,9867213	2,8484318	-2,6569405	-0,081383765
3,36	-7,43775794	-2,3888528	1,3069274	0,3398969	1,2303311
3,38	-10,0693264	-3,0016246	1,5845897	2,034594	2,9633265
3,4	-3,96937335	-3,9207826	1,4122477	-0,17712937	3,2505634
3,42	-8,9021868	-4,045252	-11,417664	-1,9867213	1,8431029
3,44	-15,09022525	-2,6090677	-16,664522	-1,6516117	1,5271424
3,46	-5,05943696	-1,2782038	-3,1452432	-0,7228793	2,6282167
3,48	0,622107036	-0,91437054	-1,6037389	-0,27287498	1,5941644
3,5	2,18563273	-1,6133134	-0,7420284	-0,5218136	-1,862252
3,52	1,183655095	-2,5420458	2,408002	-1,1537346	-4,0739756
3,54	1,85531041	-2,9154537	2,666515	-1,5845897	-4,96441
3,56	1,09556912	-2,867581	3,7101421	-1,1920328	-3,7005677
3,58	2,90133132	-2,6377914	3,2409887	-0,34947145	-1,7569319
3,6	3,352771755	-2,168638	-0,05266008	0,014361841	0,062234644
3,62	0,08258058	-0,8856468	-1,8335283	-0,59841	2,0537431
3,64	-3,958362675	1,0675635	-1,7282082	-1,0101161	2,9154537
3,66	-7,90020905	1,4888442	4,0739756	-1,0867126	2,0250196
3,68	-8,4287249	0,13883112	7,243155	-0,78032666	-0,062234644
3,7	-4,431824575	-1,5175679	1,3548003	-0,6845811	-1,4601204
3,72	-0,567053328	-1,3069274	-3,1643922	-0,90479594	-1,5941644
3,74	2,405847725	-4,5144053	-3,9016335	-1,3739494	-1,1345854
3,76	4,24464195	-3,7963133	-0,39734426	-1,4313968	-1,4122477
3,78	2,78021309	-7,4920936	0,90479594	-0,47394073	-1,9771467
3,8	0,236730996	-11,331492	-0,42606795	0,20585304	-1,2399056
3,82	-1,69014925	-8,382527	-1,6516117	-0,30159867	0,081383765
3,84	-2,78021309	-2,0920415	-1,1920328	-0,5792609	0,665432
3,86	-3,132556875	1,0196906	0,13883112	-0,043085523	0,25372586
3,88	-3,46287908	4,3133397	0,27287498	-0,05266008	-0,5505372
3,9	-3,132556875	7,5303917	-0,10053288	-0,8952214	-0,081383765
3,92	-1,63509553	2,4845984	0,13883112	-1,776081	-1,5175679
3,94	-0,280773995	-2,7048132	1,3165021	-2,0058703	-2,9250283
3,96	-0,137634312	-4,476107	1,0484143	-1,5462915	-1,7473572
3,98	-1,117590585	-2,0250196	-0,081383765	-1,2016073	-0,8856468
4	-0,776257475	-0,03351096	-0,85692316	-0,7994758	-1,2494801
4,02	-0,511999631	-1,2207564	-0,25372586	-0,36862057	-1,4984187
4,04	-2,659094745	-2,187787	-0,46436617	-0,8760723	-2,1207652
4,06	-3,583997425	-2,6186423	-0,5505372	-1,4984187	-2,7048132
4,08	-2,51595505	-1,6994845	-0,03351096	-1,2494801	-2,2931073
4,1	-2,47191235	-0,42606795	0,665432	-1,1250108	-1,8909757
4,12	-2,119568335	0,76117754	1,6803354	-1,6611862	1,4026731
4,14	-2,39483682	1,7473572	2,9441774	-1,8814012	8,602742
4,16	-2,73616993	2,1303396	1,3069274	-1,8814012	7,281453
4,18	-2,86829895	1,4026731	-1,3739494	-1,2399056	1,0005416
4,2	-2,04249315	0,37819514	-1,4313968	-1,0771381	-6,5729356
4,22	-1,08455833	-0,8186249	0,42606795	-0,50266445	-9,512326
4,24	2,8903203	-1,7569319	-0,34947145	-0,78990126	-3,193116
4,26	8,2305316	-2,4558747	-2,9920502	-1,1920328	3,2026904
4,28	6,83216725	-2,4463003	-3,2409887	-1,9101248	9,445304
4,3	1,447912905	-1,7282082	-0,98139244	-2,4463003	15,352808
4,32	-5,66502765	-0,5505372	-0,70373017	-2,1590633	14,060242
4,34	-10,04730505	0,2441513	0,27287498	-1,8143792	8,372953
4,36	-7,38270399	0,5313881	1,9771467	-1,1920328	2,3792782
4,38	-3,407825475	0,49308985	2,6952388	-1,4122477	-2,8580062
4,4	1,67913846	0,22500217	1,6899099	-1,7569319	-7,875076
4,42	8,39569276	-0,2154276	0,99096704	-2,3888528	-17,870916
4,44	14,473624	-0,7324539	1,8526775	-2,6856642	-16,310265
4,46	11,40162555	-1,4122477	3,8058877	-2,8388572	-0,3877697
4,48	8,14244574	-1,7186337	5,0122824	-2,8101335	6,170804
4,5	0	-1,5750152	8,794233	-2,666515	7,9325233
4,52	-10,1904444	-1,0292653	5,8835673	-2,666515	4,811217
4,54	-8,9352194	-0,5888355	-0,45479164	-2,8292825	1,0388398
4,56	-1,52498809	-0,6845811	1,0867126	-2,9920502	-0,77075213
4,58	-1,392859185	-0,8473486	-1,1154363	-3,1165195	-3,173967
4,6	-10,76300295	-0,42606795	-5,222923	-3,0303483	-4,2175937
4,62	-18,7678137	0,25372586	-2,3505547	-2,2260852	-3,039923
4,64	-8,80309015	0,3398969	1,5941644	-1,5175679	-2,101616
4,66	4,607996755	-0,17712937	2,8292825	-1,4026731	-1,6516117
4,68	8,6269182	-1,2016073	1,7186337	-2,408002	-1,5750152
4,7	4,06847	-2,321831	0,5218136	-2,752686	-1,6516117
4,72	-3,39681457	-3,2984362	0	-2,905879	-1,2686293
4,74	-7,31663994	-3,7101421	-1,1920328	0,6750065	0,15798025
4,76	-5,907264455	-3,231414	-2,1303396	7,003791	1,1250108
4,78	-2,79122365	-2,7431116	-0,9526688	8,909128	0,45479164
4,8	-1,447912905	-2,408002	0,8952214	3,231414	-0,77075213
4,82	-0,060559092	-1,7282082	0,7228793	-5,0314317	-0,69415563
4,84	0,390881435	-0,5505372	0,92394507	-6,678256	-1,1824582
4,86	-0,038537604	0,3877697	1,1824582	-2,3314054	-2,666515
4,88	-1,34881614	1,4984187	0,6558574	0,359046	-3,1452432
4,9	-3,198621155	2,7814097	-0,16755481	2,3122563	-1,4792696
4,92	-4,35474939	2,408002	-0,5313881	1,8431029	0,78990126
4,94	-4,75113645	2,6186423	0,12925656	0,8856468	0,71330476
4,96	-3,63905103	3,0494976	-0,10053288	-0,7228793	-1,6707608
4,98	-2,097546755	4,08355	-0,6845811	-2,1973617	-0,751603
5	-0,897375659	4,121848	-0,5888355	-2,2835326	2,8101335
5,02	-0,798278975	3,0973704	-0,54096264	-0,8952214	0,8090504
5,04	-0,875354171	2,254809	-0,9718179	0,40691882	-2,8963046
5,06	-0,875354171	2,494173	-1,709059	0,14840569	-3,5856729
5,08	-1,58004181	2,475024	-1,8526775	-1,0101161	-1,622888
5,1	-3,1655889	1,0484143	-1,4601204	-1,5558661	0,71330476
5,12	-3,661072495	-0,59841	-0,8856468	-1,4888442	1,3548003
5,14	-1,93238571	-1,4984187	-0,0718092	-0,76117754	0,4164934
5,16	0,060559092	-0,7420284	1,2686293	-0,4356425	-1,1824582
5,18	-0,225720252	1,1345854	2,6186423	-0,47394073	-2,3026817
5,2	-2,229675775	2,4654493	3,3750327	0,12925656	-0,56011176
5,22	-4,11251316	3,2409887	3,9399316	0,90479594	5,3186684
5,24	-3,93634121	4,2941904	5,5101595	0,40691882	9,617646
5,26	-1,75621376	5,452712	6,4963393	-0,5888355	8,152739
5,28	-0,4129029	5,8548436	5,759098	-0,77075213	2,8963046
5,3	0,500988875	5,2420716	4,887813	-0,42606795	-4,868664
5,32	0,534021096	4,016528	3,6143966	-0,45479164	-9,924032
5,34	-2,26270803	3,0494976	2,1973617	-0,56968635	-7,2527294
5,36	-4,23363116	2,800559	2,5707695	-0,50266445	-0,30159867
5,38	-1,50296651	3,0111992	2,101616	-0,359046	4,6771727
5,4	2,62606249	3,384607	2,4654493	-0,12925656	7,5974135
5,42	6,6559953	3,5090764	2,6282167	-0,062234644	5,82612
5,44	7,8011124	3,0016246	3,1548176	-0,4356425	-0,78990126
5,46	4,486878525	1,0675635	3,193116	-0,59841	-8,037844
5,48	-4,47586762	-1,3643749	2,9824755	-0,3111732	-10,747444
5,5	-11,52274355	-2,3026817	2,7239625	-0,110107444	-6,9271946
5,52	-7,4487685	-1,4601204	2,88673	0,05266008	-5,414414
5,54	-0,578064118	0,2920241	3,346309	-0,6558574	-8,487848
5,56	1,954407175	0,5888355	3,078221	-0,69415563	-3,1835413
5,58	2,174622055	-2,4175766	2,2069361	-0,23457673	-1,4505459
5,6	0,611096315	-6,9463434	1,5175679	-0,110107444	-0,03351096
5,62	-2,152600475	-8,985725	0,512239	-0,2154276	1,3260766
5,64	-3,429846825	-9,41658	-0,081383765	-0,10053288	2,1303396
5,66	-2,4168584	-7,587839	1,1537346	0,50266445	1,709059
5,68	-0,88636495	-1,5750152	2,733537	-0,33032233	0,59841
