Tempo	DP1	DP2	DP3	DP4	DP5
1,52	1,67985664	-0,8090504	0,90479594	-1,9771467	3,1356685
1,54	1,85890089	1,5845897	1,0484143	-3,8633351	1,6324625
1,56	2,60667418	-2,3792782	-0,39734426	-5,194199	0,8186249
1,58	2,75412225	-0,7324539	-3,5952475	0,03351096	0,16755481
1,6	3,4387034	-0,2441513	-3,997379	2,3122563	0,4356425
1,62	4,16541246	-4,9069624	4,6771727	0,25372586	0,46436617
1,64	2,95423062	-6,113357	4,476107	-2,5324712	0,8760723
1,66	1,41655624	-1,6420372	0,70373017	-4,8782387	1,0292653
1,68	0,121118188	0,4356425	-0,90479594	-4,121848	0,78032666
1,7	0,32122651	-1,6516117	-5,299519	-2,6377914	0,92394507
1,72	1,76411279	-2,7718353	-4,351638	-1,8814012	0,83777404
1,74	2,18539343	-2,6282167	-1,14416	-0,45479164	0,8281995
1,76	1,32176803	-2,149489	-1,3069274	0,98139244	0,23457673
1,78	0,205374334	-2,0537431	-2,0537431	0,3877697	-0,40691882
1,8	-0,679315043	-1,7282082	-0,34947145	0,11968201	-0,9622433
1,82	-1,26910806	-1,9771467	0,47394073	0,27287498	-1,0579889
1,84	-1,079531684	-2,034594	-0,78990126	-1,2111819	-0,71330476
1,86	2,19592538	-1,9579976	-1,8431029	-2,1111906	0
1,88	3,14380682	-2,3026817	-1,7665064	-0,54096264	0,69415563
1,9	-1,24804394	-2,3026817	-2,2739582	6,4963393	-0,8952214
1,92	-3,22806297	-2,2069361	-1,9101248	8,104865	-2,1207652
1,94	-0,32122651	-2,2069361	-1,0005416	10,622974	-2,187787
1,96	2,52241803	-1,7569319	-1,2782038	8,478273	-0,8281995
1,98	3,45976752	-1,862252	-1,4505459	-7,1857076	0,043085523
2	0,774103187	-2,3026817	-1,3356512	-5,692076	1,8143792
2,02	-2,53294987	-1,9867213	-1,8143792	5,912291	4,543129
2,04	-2,51188586	-1,6707608	-1,8526775	7,741032	5,414414
2,06	-1,73251672	-2,2069361	-1,8814012	-1,8431029	3,3271596
2,08	-1,64826057	-2,4367256	-1,5271424	-6,2282515	3,3941817
2,1	-1,05846763	-2,2739582	-1,4601204	-7,855927	2,3505547
2,12	-0,384418595	-3,1165195	-1,5175679	-0,69415563	1,5845897
2,14	-0,858359326	-2,1111906	-1,5175679	7,051664	1,0867126
2,16	-1,5218764	0,8186249	-2,254809	1,7856555	-0,110107444
2,18	-0,837295294	0,93351966	-2,2356598	-5,146326	0,2441513
2,2	-0,279098446	-1,5654407	-1,5462915	-4,9739842	0,4835153
2,22	-0,32122651	-3,5952475	-0,9718179	-0,9622433	-0,023936402
2,24	-0,468674745	-4,849515	-0,50266445	-0,23457673	-0,5218136
2,26	-1,090063744	-4,763344	-0,49308985	-1,5558661	-0,27287498
2,28	-1,67985664	-4,504831	-0,751603	-2,0058703	-0,34947145
2,3	-1,55347247	-0,2920241	1,0962871	-2,6952388	-1,3739494
2,32	-1,26910806	0,50266445	5,5101595	-2,321831	-0,98139244
2,34	-0,7319752	0,45479164	6,0367603	-1,0292653	-1,3643749
2,36	-0,658251	-0,8473486	0,062234644	-0,9430942	-1,6516117
2,38	-0,81623124	-1,469695	-5,462287	-1,6037389	0,85692316
2,4	-0,64771905	-1,4792696	-8,526146	-1,6611862	2,5324712
2,42	-0,53186683	-1,776081	-10,747444	-1,7856555	1,7282082
2,44	-0,53186683	-1,862252	-5,586756	-1,4218222	2,149489
2,46	-0,68984707	-1,5845897	1,2782038	-0,5505372	2,1782124
2,48	-0,995275534	-0,2920241	3,4037561	-1,6899099	1,1154363
2,5	-0,87942338	1,1920328	2,427151	-1,0196906	7,769756
